time,altitude,velocity
272.000000,310.708917,2.651944
273.000000,312.649403,2.648835
274.000000,314.596321,2.645724
275.000000,316.549664,2.642614
276.000000,318.509426,2.639502
277.000000,320.475597,2.636390
278.000000,322.448172,2.633278
279.000000,324.427143,2.630165
280.000000,326.412502,2.627052
281.000000,328.404242,2.623938
282.000000,330.402356,2.620824
283.000000,332.406836,2.617710
284.000000,334.417674,2.614596
285.000000,336.434864,2.611482
286.000000,338.458398,2.608367
287.000000,340.488268,2.605253
288.000000,342.524467,2.602139
289.000000,344.566987,2.599025
290.000000,346.615820,2.595911
291.000000,348.670960,2.592797
292.000000,350.732398,2.589683
293.000000,352.800126,2.586570
294.000000,354.874138,2.583457
295.000000,356.954425,2.580344
296.000000,359.040980,2.577232
297.000000,361.133795,2.574120
298.000000,363.232862,2.571009
299.000000,365.338174,2.567899
300.000000,367.449722,2.564789
301.000000,369.567499,2.561680
302.000000,371.691498,2.558571
303.000000,373.821709,2.555463
304.000000,375.958126,2.552356
305.000000,378.100741,2.549250
306.000000,380.249545,2.546145
307.000000,382.404531,2.543040
308.000000,384.565691,2.539937
309.000000,386.733016,2.536834
310.000000,388.906500,2.533733
311.000000,391.086133,2.530633
312.000000,393.271908,2.527534
313.000000,395.463817,2.524436
314.000000,397.661852,2.521339
315.000000,399.866005,2.518244
316.000000,402.076267,2.515149
317.000000,404.292631,2.512057
318.000000,406.515088,2.508965
319.000000,408.743630,2.505875
320.000000,410.978250,2.502786
321.000000,413.218938,2.499699
322.000000,415.465687,2.496614
323.000000,417.718489,2.493530
324.000000,419.977335,2.490447
325.000000,422.242217,2.487366
326.000000,424.513127,2.484287
327.000000,426.790056,2.481210
328.000000,429.072996,2.478134
329.000000,431.361939,2.475060
330.000000,433.656877,2.471988
331.000000,435.957800,2.468918
332.000000,438.264702,2.465849
333.000000,440.577573,2.462783
334.000000,442.896404,2.459718
335.000000,445.221189,2.456655
336.000000,447.551917,2.453595
337.000000,449.888581,2.450536
338.000000,452.231172,2.447480
339.000000,454.579681,2.444425
340.000000,456.934101,2.441373
341.000000,459.294422,2.438323
342.000000,461.660636,2.435275
343.000000,464.032734,2.432229
344.000000,466.410708,2.429186
345.000000,468.794550,2.426145
346.000000,471.184250,2.423106
347.000000,473.579799,2.420069
348.000000,475.981191,2.417035
